ID,NAME,LAT,LONG,ELEVATION
97,precipitation97,20.7409209,100.05026791,500.423370361328
98,precipitation98,20.84431791,99.47726356,1042.06396484375
99,precipitation99,20.6069918,99.60491426,1175.22045898438
100,precipitation100,20.81438663,103.09050114,866.476013183594
101,precipitation101,20.71632472,100.62250125,483.136169433594
102,precipitation102,20.66055018,100.42116401,617.21630859375
103,precipitation103,20.7126303,101.99275663,815.788208007812
104,precipitation104,20.65136209,101.03494161,751.265686035156
105,precipitation105,20.62939823,103.19437019,1184.14367675781
106,precipitation106,20.59092729,100.60547789,560.432739257812
107,precipitation107,20.72650664,102.33788786,1086.35485839844
108,precipitation108,20.70189981,101.41217765,635.686218261719
109,precipitation109,20.68751293,101.70569913,852.431457519531
110,precipitation110,20.61835026,102.53985166,354.181640625
111,precipitation111,20.52891853,102.30925579,849.490661621094
112,precipitation112,20.57548545,101.42674043,554.635925292969
113,precipitation113,20.5813338,101.64340494,972.725952148438
114,precipitation114,20.66565349,102.69554587,821.280029296875
115,precipitation115,20.67960585,99.74409215,1111.34448242188
116,precipitation116,20.6228158,99.95087924,521.338439941406
117,precipitation117,20.54816645,101.29801357,856.130676269531
118,precipitation118,20.52693335,101.45753091,644.430053710938
119,precipitation119,20.52900433,102.57397614,359.144104003906
120,precipitation120,20.60372998,102.87971841,506.442474365234
121,precipitation121,20.59889742,103.01779154,835.28173828125
122,precipitation122,20.42346335,102.64232413,735.625549316406
123,precipitation123,20.4977639,100.28217133,616.2470703125
124,precipitation124,20.50500631,100.75078822,578.1171875
125,precipitation125,20.45369822,99.966437,369.568145751953
126,precipitation126,20.58241075,100.19045611,843.049011230469
127,precipitation127,20.50943866,101.99256147,905.166076660156
128,precipitation128,20.49206236,102.11035621,741.621948242188
129,precipitation129,20.44384694,100.3988325,531.124450683594
130,precipitation130,20.39361346,100.45921142,455.559173583984
131,precipitation131,20.41442715,100.85107345,537.601257324219
132,precipitation132,20.49064273,101.73057206,713.505981445312
133,precipitation133,20.41589922,101.81158984,854.034118652344
134,precipitation134,20.43096777,99.68138481,658.416137695312
135,precipitation135,20.30527741,100.22744151,366.370025634766
136,precipitation136,20.31113638,100.18685914,356.18896484375
137,precipitation137,20.33828613,100.09083955,349.836395263672
138,precipitation138,20.30119043,100.14658426,360
139,precipitation139,20.31010534,100.01859971,372.633026123047
140,precipitation140,20.42375576,101.30039421,460.325347900391
141,precipitation141,20.36990942,101.48954565,731.202514648438
142,precipitation142,20.43816555,102.47786505,516.679748535156
143,precipitation143,20.2231632,100.03745689,367.662841796875
144,precipitation144,20.2435929,100.16651595,368.586059570312
145,precipitation145,20.25643689,99.68767162,665.026000976562
146,precipitation146,20.273742,100.40529326,362.642150878906
147,precipitation147,20.27112305,101.17432617,452.233520507812
148,precipitation148,20.1859988,100.4147654,349.108612060547
149,precipitation149,20.14394414,100.17720636,488.546203613281
150,precipitation150,20.18937487,100.49302771,441.923309326172
151,precipitation151,20.15162214,99.78805619,584.798461914062
152,precipitation152,20.44789566,99.28366256,595.662231445312
153,precipitation153,20.21445829,99.45062035,621.752380371094
154,precipitation154,20.30860383,101.95477787,701.587036132812
155,precipitation155,20.14302184,101.17699099,611.815246582031
156,precipitation156,20.25750554,100.83375396,506.938842773438
157,precipitation157,20.31774096,102.20504253,497.652770996094
158,precipitation158,20.07035285,100.26829884,367.786010742188
159,precipitation159,20.35453175,102.83222444,757.2109375
160,precipitation160,20.33553417,103.07914552,684.173461914062
161,precipitation161,20.17328398,101.74246537,923.691101074219
162,precipitation162,20.08084236,100.84921681,492.956848144531
163,precipitation163,20.0847732,99.34414105,527.832824707031
164,precipitation164,20.24794401,100.57690235,367.039855957031
165,precipitation165,20.12227188,100.64473811,409.947052001953
166,precipitation166,20.12812246,102.85595111,398.984008789062
167,precipitation167,19.99719325,100.47005518,405.811584472656
168,precipitation168,20.22649344,102.38903366,782.536010742188
169,precipitation169,20.04624756,99.96923482,376.76220703125
170,precipitation170,20.06947545,103.0506484,501.924591064453
171,precipitation171,19.95156565,99.98697388,381.729736328125
172,precipitation172,20.15727382,103.26052091,1009.99096679688
173,precipitation173,20.08528979,103.39853041,973.208923339844
174,precipitation174,19.98368988,99.29737517,448.388793945312
175,precipitation175,19.9865996,99.11651322,898.578002929688
176,precipitation176,20.11180747,102.49352942,675.9443359375
177,precipitation177,20.01092519,102.20640363,421.331695556641
178,precipitation178,19.99759568,102.25436317,298.892303466797
179,precipitation179,19.97403408,99.64781393,585.406494140625
180,precipitation180,19.96602863,102.54827997,610.856506347656
181,precipitation181,19.81478243,99.9459149,390.800964355469
182,precipitation182,20.1042638,101.41351112,471.615692138672
183,precipitation183,19.94157911,100.30413662,361.2724609375
184,precipitation184,19.94580884,102.11080572,439.68798828125
185,precipitation185,19.87911375,102.08156895,285.830902099609
186,precipitation186,19.86113708,100.10168666,412.557830810547
187,precipitation187,19.96329392,103.29972288,766.514831542969
188,precipitation188,20.01406734,101.90120603,474.563903808594
189,precipitation189,19.96688881,101.56429105,662.558654785156
190,precipitation190,19.85582292,101.61848562,306.293792724609
191,precipitation191,19.7975859,99.73442596,412.621551513672
192,precipitation192,19.91669857,100.57811708,312.925109863281
193,precipitation193,19.89025972,100.88396893,420.118865966797
194,precipitation194,19.85974331,101.21002881,609.182495117188
195,precipitation195,19.82455206,101.43181249,459.770690917969
196,precipitation196,19.88613,103.12406144,1243.99230957031
197,precipitation197,19.7981369,101.24639269,502.616546630859
198,precipitation198,19.74019354,101.62500541,614.987854003906
199,precipitation199,19.74682478,99.18542826,513.016235351562
200,precipitation200,19.84611275,102.6951215,998.597290039062
201,precipitation201,19.82548096,103.46509641,1135.07836914062
202,precipitation202,19.76597615,101.14784382,611.844787597656
203,precipitation203,19.79726793,102.85568242,628.804870605469
204,precipitation204,19.8313338,102.41764772,961.828125
205,precipitation205,19.68674423,101.35187344,676.921508789062
206,precipitation206,19.73808986,103.03216664,777.707946777344
207,precipitation207,19.76999635,102.16894091,349.423431396484
208,precipitation208,19.84090316,99.48973833,864.109741210938
209,precipitation209,19.70237035,100.21964288,418.394866943359
210,precipitation210,19.76661766,100.3391253,668.284423828125
211,precipitation211,19.67046803,100.5663264,899.796508789062
212,precipitation212,19.72181876,102.28981793,464.189727783203
213,precipitation213,19.7354215,102.63608293,887.491638183594
214,precipitation214,19.64856066,101.14409193,651.301025390625
215,precipitation215,19.66217051,102.39101367,800.492065429688
216,precipitation216,19.67102441,100.85660396,666.957763671875
217,precipitation217,19.70421628,101.74952317,550.772521972656
218,precipitation218,19.79550572,101.95527752,595.953796386719
219,precipitation219,19.64919673,102.57681783,896.014038085938
220,precipitation220,19.61717121,102.72214012,1140.96740722656
221,precipitation221,19.65110512,102.19481328,464.617126464844
222,precipitation222,19.53413052,102.03374383,650.230346679688
223,precipitation223,19.53489518,102.52471495,1015.45306396484
224,precipitation224,19.63367367,99.69411879,456.850677490234
225,precipitation225,19.52203666,100.36707806,414.070129394531
226,precipitation226,19.60020744,99.44341778,521.105773925781
227,precipitation227,19.48786153,102.24501355,875.039916992188
228,precipitation228,19.40075307,99.38929604,717.613708496094
229,precipitation229,19.61003509,103.13357407,1100.05981445312
230,precipitation230,19.60122099,99.92239516,480.377166748047
231,precipitation231,19.61974732,100.0888355,371.524444580078
232,precipitation232,19.45324886,103.16100183,1094.37060546875
233,precipitation233,19.43667458,99.81236749,400.483978271484
234,precipitation234,19.41855414,100.16897137,374.078796386719
235,precipitation235,19.55773303,102.79866415,1379.50842285156
236,precipitation236,19.51366617,101.49203568,710.8583984375
237,precipitation237,19.41881029,102.72313249,780.065185546875
238,precipitation238,19.40533447,102.88644594,841.804565429688
239,precipitation239,19.35683345,102.58669571,1102.52551269531
240,precipitation240,19.37559038,101.3081128,1341.55126953125
241,precipitation241,19.35634062,101.4775108,747.731140136719
242,precipitation242,19.19998026,101.3180088,1002.69500732422
243,precipitation243,19.30900981,100.01517266,377.266632080078
244,precipitation244,19.22685984,99.4555199,855.861450195312
245,precipitation245,19.08476822,100.05230945,411.529876708984
246,precipitation246,19.32525987,101.69250605,312.859283447266
247,precipitation247,19.24524635,99.80173639,401.342712402344
248,precipitation248,19.27498204,103.19675261,949.890563964844
249,precipitation249,19.32819119,103.38478056,1066.74096679688
250,precipitation250,19.19246878,99.94566638,392.285614013672
251,precipitation251,19.17889759,101.60101625,305.762176513672
252,precipitation252,19.0287246,99.91636274,488.796630859375
253,precipitation253,19.17024971,101.72239196,505.372039794922
254,precipitation254,19.43896121,101.85254971,333.566986083984
255,precipitation255,19.144476,103.14669843,753.211853027344
256,precipitation256,19.1891386,103.38948755,1167.7666015625
257,precipitation257,19.22747754,102.82397353,717.919616699219
258,precipitation258,19.0813596,102.99287617,1014.14691162109
259,precipitation259,19.03994033,103.33905648,542.072509765625
260,precipitation260,19.16552153,103.54554521,1137.18994140625
261,precipitation261,19.06724279,101.80201901,205.413558959961
262,precipitation262,18.99904193,101.43278759,483.429595947266
263,precipitation263,19.1077952,101.48534462,435.527404785156
264,precipitation264,18.92387064,101.51372251,345.676208496094
265,precipitation265,18.92923383,101.64721003,313.899658203125
266,precipitation266,18.96508108,102.67098973,395.837219238281
267,precipitation267,19.03590511,102.78837408,774.575744628906
268,precipitation268,19.07184548,103.66656791,1827.50170898438
269,precipitation269,19.00369997,103.7883534,627.303344726562
270,precipitation270,18.89606301,101.76555538,358.347625732422
271,precipitation271,19.12918933,101.98535599,756.299377441406
272,precipitation272,18.98449842,104.20465428,414.982818603516
273,precipitation273,18.87498524,102.7862976,496.956848144531
274,precipitation274,18.89462292,102.9339423,725.703125
275,precipitation275,18.84363842,101.3684255,839.108093261719
276,precipitation276,18.85685934,101.83098206,308.574951171875
277,precipitation277,18.87073478,101.96461007,388.481689453125
278,precipitation278,18.88627211,104.45147926,888.424133300781
279,precipitation279,18.88092828,103.27418641,1043.10693359375
280,precipitation280,18.90140384,103.46961611,341.027038574219
281,precipitation281,19.09292361,102.20884146,778.522216796875
282,precipitation282,18.79389006,102.75615681,983.404602050781
283,precipitation283,18.8059903,103.02315684,1251.24731445312
284,precipitation284,18.74252686,101.68707999,442.102630615234
285,precipitation285,18.76106878,101.83126071,280.661926269531
286,precipitation286,18.79362624,104.21017247,570.059997558594
287,precipitation287,18.75313664,104.35419582,429.977478027344
288,precipitation288,18.63654518,102.0505463,224.856918334961
289,precipitation289,18.97123527,102.43272991,580.544006347656
290,precipitation290,18.66190437,102.21015858,505.992004394531
291,precipitation291,18.79480947,104.04406864,753.200378417969
292,precipitation292,18.68483546,104.25685424,518.5234375
293,precipitation293,18.69137753,103.42710397,284.420166015625
294,precipitation294,18.77275916,103.57222427,273.882507324219
295,precipitation295,18.63291224,102.67727014,200
296,precipitation296,18.74513753,102.55985531,236
297,precipitation297,18.57782134,102.61475509,200
298,precipitation298,18.61122788,102.97462488,484.044189453125
299,precipitation299,18.67241374,101.5028619,376.333953857422
300,precipitation300,18.60734805,104.44904949,452.315368652344
301,precipitation301,17.42670963,103.81495458,155.444808959961
302,precipitation302,17.4608724,101.92827476,316.929992675781
303,precipitation303,17.37048901,101.74920992,240.776153564453
304,precipitation304,17.39119491,101.83044299,284.802062988281
305,precipitation305,17.3363268,105.47329094,161.12321472168
306,precipitation306,17.38376247,104.82332215,149.055847167969
307,precipitation307,17.33942717,103.56221511,186.845886230469
308,precipitation308,17.39295883,104.08134699,147.681625366211
309,precipitation309,17.35503836,104.62943278,154.908920288086
310,precipitation310,17.35848448,103.30936699,179.295135498047
311,precipitation311,17.17858576,101.86217661,292.299865722656
312,precipitation312,17.29484915,104.79458398,146.970001220703
313,precipitation313,17.21846477,101.15465853,603.99658203125
314,precipitation314,17.33478901,105.96682208,292.719451904297
315,precipitation315,17.22028083,104.68674236,147.251693725586
316,precipitation316,17.23660134,103.75571318,182.726150512695
317,precipitation317,17.30596928,102.58988211,198.31330871582
318,precipitation318,17.21330482,104.80345869,124
319,precipitation319,17.25864602,104.8670791,155.720855712891
320,precipitation320,17.28574355,105.84536968,430.172912597656
321,precipitation321,17.16636165,106.2408598,431.465301513672
322,precipitation322,17.20700109,104.13092544,160.866775512695
323,precipitation323,17.07920098,104.15192608,161.276306152344
324,precipitation324,17.09056338,103.89804896,205.37841796875
325,precipitation325,17.0325027,103.77800159,239.508224487305
326,precipitation326,18.35544444,103.73094181,163.825561523438
327,precipitation327,18.29444384,101.90234078,359.183502197266
328,precipitation328,18.42587957,103.8446257,154.304916381836
329,precipitation329,18.53257875,104.00457581,329.054382324219
330,precipitation330,18.30777426,104.04200049,159.519989013672
331,precipitation331,18.37299805,104.11061969,433.114074707031
332,precipitation332,18.25600662,102.37197143,275.379150390625
333,precipitation333,18.332456,102.48126578,166.057968139648
334,precipitation334,18.32034506,103.90664776,163.726348876953
335,precipitation335,18.3626122,103.79691726,164.05419921875
336,precipitation336,18.37254548,104.50073032,538.6953125
337,precipitation337,18.45082515,102.63139937,200
338,precipitation338,18.3465878,102.71558489,364.760528564453
339,precipitation339,18.27859458,104.61224373,431.800018310547
340,precipitation340,18.34555024,104.81503081,564.463745117188
341,precipitation341,18.30323097,103.96058887,172.443862915039
342,precipitation342,18.32448939,103.99619404,142.826187133789
343,precipitation343,18.26018183,104.43269184,686.912780761719
344,precipitation344,18.29860647,101.25469181,571.960754394531
345,precipitation345,18.36682806,102.08435751,341.321563720703
346,precipitation346,18.13167632,101.24504031,447.801116943359
347,precipitation347,18.24088962,101.35895482,304.034301757812
348,precipitation348,18.28694055,101.48499741,239.459838867188
349,precipitation349,18.3178541,102.52513178,164.559173583984
350,precipitation350,18.24058907,102.62284272,165.469360351562
351,precipitation351,13.3219201,107.05220231,128.258438110352
352,precipitation352,13.31574689,105.92820158,22
353,precipitation353,13.48065056,105.90247158,58.8658180236816
354,precipitation354,13.29511747,107.12033264,112.32731628418
355,precipitation355,13.34791105,107.54016446,152.871994018555
356,precipitation356,13.25818211,107.38307461,128.916549682617
357,precipitation357,13.29463723,105.94074717,65.6134490966797
358,precipitation358,13.39222236,106.00550952,73.5929489135742
359,precipitation359,13.26576826,105.98599387,47.7646751403809
360,precipitation360,13.25120365,105.77610986,150.121170043945
361,precipitation361,13.23457436,106.00511795,45.8869552612305
362,precipitation362,13.34008258,106.12219568,119.088134765625
363,precipitation363,13.23245798,107.40586852,141.715209960938
364,precipitation364,13.14749387,107.57316816,152.913238525391
365,precipitation365,13.24541472,108.01377522,339.504608154297
366,precipitation366,13.19809914,107.74645068,178.348678588867
367,precipitation367,13.19067443,107.82021188,160.473037719727
368,precipitation368,13.19929137,106.00333572,49.8182029724121
369,precipitation369,13.18840968,107.38426254,138.869689941406
